ID,City,Club,Stadium,Cap,Country,Trivia Page link,Trivia
125,Southend-on-Sea,Southend United,Roots Hall Stadium,"13,392",England,https://www.stadiumguide.com/roots-hall/,"Southend United had been playing at the site of Roots Hall since their foundation in 1906, but moved away in 1919 and spent over three decades renting other grounds."
126,Stevenage,Stevenage FC,The Lamex Stadium,"6,490",England,https://www.stadiumguide.com/lamex-stadium-stevenage/,"The Lamex Stadium, also known as Broadhall Way, was built in 1961 and first served as the home of Stevenage Town and next of their successor Stevenage Athletic. Following the bankruptcy of the latter in 1976, the stadium was left unused until in 1980 newly formed Stevenage FC (then still called Stevenage Borough) made the stadium their home."
127,Stoke-on-Trent,Stoke City,bet365 Stadium,"27,743",England,https://www.stadiumguide.com/britanniastadium/,"The bet365 Stadium, previously known as Britannia Stadium, was one of the first newly built modern stadiums of England. It replaced Stoke’s old Victoria Ground, where they had played for 117 years."
128,Sunderland,Sunderland,Stadium of Light,"49,000",England,https://www.stadiumguide.com/stadiumoflight/,"The Stadium of Light was built in the mid 1990s as a replacement for Sunderland’s old Roker Park, which lacked the possibilities for further expansion and modernisation."
129,Watford,Watford,Vicarage Road,"21,500",England,https://www.stadiumguide.com/vicarageroad/,Watford FC moved to Vicarage Road in 1922 after it had been playing for 23 years at a ground on Cassio Road. The club played their first match at the new ground on the 30th of August 1922 against Millwall.
130,West Bromwich,West Bromwich Albion,The Hawthorns,"26,287",England,https://www.stadiumguide.com/hawthorns/,"The Hawthorns officially opened on 3 September 1900 with a match between West Brom and Derby County (1-1). Construction had only taken four months and the ground could hold 35,500 supporters."
131,Wigan,Wigan Athletic,DW Stadium,"25,133",England,https://www.stadiumguide.com/dwstadium/,"The DW Stadium, until 2009 called JJB Stadium, replaced Wigan’s previous home Springfield Park, where Wigan had been playing their home matches for almost 70 years."
132,Wolverhampton,Wolverhampton Wanderers,Molineux Stadium,"31,700",England,https://www.stadiumguide.com/molineux/,"Wolves moved into Molineux Stadium in 1889, having played at various grounds in the first decade of their existence."
133,Ajaccio,AC Ajaccio,Stade Francois Coty,"10,660",France,https://www.stadiumguide.com/francoiscoty/,"Stade François Coty, also referred to as Stade de Timizzolu, opened on 1 December 1969 with the derby between Ajaccio and Bastia."
134,Amiens,Amiens SC,Stade de la Licorne,"12,097",France,https://www.stadiumguide.com/stade-de-la-licorne/,"Stade de la Licorne officially opened on 24 July 1999 with the French Super Cup match between Nantes and Bordeaux (1-0), though Johnny Hallyday had already given an inauguration concert a few weeks earlier."
135,Angers,Angers SCO,Stade Raymond Kopa,"16,500",France,https://www.stadiumguide.com/stade-jean-bouin/,"Stade Raymond Kopa, previously known as Stade Jean Bouin, opened in 1912. The stadium was initially called Stade Bessonneau and had an athletics track, which got removed in 1957 in a redevelopment. At the same time it got renamed Stade Jean Bouin."
136,Annecy,FC Annecy,Parc des Sports,"15,660",France,https://www.stadiumguide.com/parc-des-sports-dannecy/,Parc des Sports Annecy opened on 18 July 1964 with an athletics event.
137,Auxerre,AJ Auxerre,Stade Abbe Deschamps,"21,379",France,https://www.stadiumguide.com/abbedeschamps/,"At that time, the stadium was still called Stade de la Route de Vaux, but it got renamed in 1949 after the death of Auxerre’s founder Abbé Deschamps."
138,Bastia,SC Bastia,Stade Armand Cesari,"16,480",France,https://www.stadiumguide.com/armandcesari/,"For most of its existence, the stadium was a very small affair with just a tiny covered main stand and small open terraces on the other sides."
139,Bordeaux,Girondins de Bordeaux,Matmut Atlantique,"42,115",France,https://www.stadiumguide.com/stade-de-bordeaux/,"Stade Matmut Atlantique, previously also known as Nouveau Stade de Bordeaux, is the recently opened new stadium of Girondins de Bordeaux. It replaced Bordeaux’s old stadium Stade Chaban-Delmas."
140,Bordeaux,--,Stade Chaban-Delmas,"34,263",France,https://www.stadiumguide.com/chabandelmas/,Parc Lescure officially opened on 12 June 1938. The first match was the World Cup quarter-final between Brazil and Czechoslovakia (1-1). Later on in the tournament the stadium would also host the match for third place between Brazil and Sweden (4-2).
141,Bourg-en-Bresse,FBBP 01,Stade Marcel Verchere,"11,500",France,https://www.stadiumguide.com/stade-marcel-verchere/,"Stade Marcel Verchere has mostly been used for rugby during its history being the home of US Bressane. It became the home of FBBP 01 following their promotion to Ligue 2 in 2015. Previously the club had played at the smaller Stade Municipal de Peronnas, which did not meet Ligue 2 standards."
142,Brest,Stade Brestois 29,Stade Francis-Le Ble,"15,097",France,https://www.stadiumguide.com/francisleble/,"It was a relatively modest stadium that remained almost unchanged until a new main stand was built in 1982. At that time it also changed names to Stade Francis-Le Blé, after a former mayor of the city."
143,Caen,Stade Malherbe Caen,Stade Michel d'Ornano,"21,000",France,https://www.stadiumguide.com/micheldornano/,"Stade Michel d’Ornano was built between December 1991 and June 1993. It replaced Caen’s previous ground Stade de Venoix, and was one of the first modern stadiums to be built in the 1990s. The new stadium came at a cost of €22.7 million."
144,Chateauroux,Le Berrichonne de Chateauroux,Stade Gaston Petit,"17,000",France,https://www.stadiumguide.com/stade-gaston-petit/,"The stadium underwent a large renovation in 1997 following the promotion of Chateauroux to Ligue 1. It recorded its highest attendance of 15,896 during their debut season in Ligue 1 in 1998 when Marseille came to visit. "
145,Dijon,Dijon FCO,Stade Gaston-Gerard,"16,000",France,https://www.stadiumguide.com/gastongerard/,"Stade Gaston-Gérard opened on 19 May 1934 as Parc des Sports and could at that time hold about 10,000 spectators."
146,Grenoble,Grenoble Foot 38,Stade des Alpes,"20,000",France,https://www.stadiumguide.com/stadedesalpes/,"The stadium is best known for its characteristic design by Chaix & Morel architects, and in particular its transparent swelling roof structure. The design has a lot of similarities with Amiens’ Stade de la Licorne, which was designed by the same architects."
147,Guingamp,EA Guingamp,Stade du Roudourou,"18,250",France,https://www.stadiumguide.com/stade-du-roudourou/,Stade du Roudourou officially opened on 21January 1990 with a friendly match between Guingamp and Paris Saint-Germain.
148,Le Havre,Havre AC,Stade Oceane,"25,278",France,https://www.stadiumguide.com/stadeoceane/,"Stade Océane officially opened on 12 July 2012, exactly two years after construction had begun."
149,Le Mans,Le Mans FC,MMArena,"25,000",France,https://www.stadiumguide.com/mmarena/,Construction of the MMArena had taken 30 months and came at a cost of €104 million. The naming rights of the stadium were sold to insurance firm MMA.
150,Lens,RC Lens,Stade Bollaert-Delelis,"38,223",France,https://www.stadiumguide.com/stadebollaertdelelis/,"Stade Bollaert-Delelis, earlier known as Stade Félix-Bollaert, officially opened in 1934 after a two-year construction period."
151,Lille,Lille OSC,Stade Pierre Mauroy,"50,000",France,https://www.stadiumguide.com/grandstadelille/,"Stade Pierre Mauroy, earlier referred to as Grand Stade Lille Métropole, was built to provide Lille OSC with a new and modern home."
152,Lorient,FC Lorient,Stade du Moustoir,"14,340",France,https://www.stadiumguide.com/yvesallainmat/,"Stade du Moustoir hardly changed in the following decades. It was only when Lorient promoted to Ligue 1 in 1998 that the stadium got considerably renovated, which meant the construction of two new stands. At the same time, the cycling tracks were removed."
153,Lyon,Olympique Lyonnais,Groupama Stadium,"59,186",France,https://www.stadiumguide.com/grandstadeol/,"Groupama Stadium, also known as Parc Olympique Lyonnais, Parc OL, or Grand Stade OL, is the recently opened new home of Olympique Lyonnais. It replaced Stade de Gerland as Lyon’s home ground."
154,Lyon,--,Stade Gerland,"40,494",France,https://www.stadiumguide.com/gerland/,Stade Gerland was built over most of the 1920s and officially opened in May 1926. It was designed as a stadium for multiple sports and during its first decades few football was played at the then still oval-shaped stadium.
155,Marseille,Olympique de Marseille,Orange Velodrome,"67,000",France,https://www.stadiumguide.com/velodrome/,"Orange Velodrome, better known as Stade Velodrome, was built to serve as a playing venue for the 1938 World Cup. Soon after it became the new home of Olympique de Marseille after Stade de l’Huveaune had become too small for the club."
156,Metz,FC Metz,Stade Saint-Symphorien,"26,600",France,https://www.stadiumguide.com/stade-saint-symphorien/,"The stadium got gradually expanded in the 1950s and 60s, which included the construction of a new main stand in 1962. Its record attendance was set in 1991 when 28,766 spectators attended a match between Metz and Marseille."
157,Monaco,AS Monaco FC,Stade Louis II,"18,523",France,https://www.stadiumguide.com/louis2/,Stade Louis II got built in the early 1980s in place of Monaco’s old Stade Louis II. It officially opened on the 25 January 1985.
158,Montbeliard,FC Sochaux,Stade Auguste Bonal,"20,000",France,https://www.stadiumguide.com/bonal/,"The stadium was built with the help of car manufacturer Peugeot, which are home to Sochaux, and a site was chosen close to the Peugeot factories."
159,Montpellier,Montpellier HSC,Stade de la Mosson,"32,900",France,https://www.stadiumguide.com/mosson/,"Stade de la Mosson was selected as one of the playing venues of the 1998 World Cup and as a result had to get expanded to a capacity of 35,000. This led to the construction of the stadium’s characteristic three-tier stand."
160,Nancy,AS Nancy Lorraine,Stade Marcel-Picot,"20,087",France,https://www.stadiumguide.com/marcelpicot/,"The stadium initially consisted of only one real stand, with the rest of the stadium consisting of earth banks arranged in the form of a series of steps."
161,Nantes,FC Nantes,Stade de La Beaujoire,"37,473",France,https://www.stadiumguide.com/beaujoire/,Stade de La Beaujoire officially opened on 8 May 1984 with a friendly between FC Nantes and the Romanian national team.
162,Nice,OGC Nice,Allianz Riviera,"35,624",France,https://www.stadiumguide.com/allianz-riviera/,"The Allianz Riviera, also known as Grand Stade de Nice, is the recently opened new stadium of OGC Nice."
163,Nimes,Nimes Olympique,Stade des Costieres,"29,487",France,https://www.stadiumguide.com/stade-des-costieres/,Stade des Costières officially opened on 15 February 1989 with a friendly international between the French and Dutch national teams.
164,Niort,Chamois Niortais,Stade Rene Gaillard,"11,352",France,https://www.stadiumguide.com/stade-rene-gaillard/,"The stadium recorded its highest attendance of 16,715 during the 1987/1988 season when Marseille visited Niort."
165,Paris,Paris FC,Stade Charlety,"20,000",France,https://www.stadiumguide.com/stade-charlety/,"Stade Charlety, in full Stade Sébastien Charlety, got built in 1939 to serve as the new home of rugby club PUC."
166,Paris,Paris Saint-Germain,Parc des Princes,"48,527",France,https://www.stadiumguide.com/parcdesprinces/,"Club: Paris Saint-Germain FC | Opening: 1972 | Capacity: 48,527 seats"
167,Reims,Stade de Reims,Stade Auguste Delaune,"21,684",France,https://www.stadiumguide.com/augustedelaune/,Stade de Reims first made plans for a move to a new stadium in the late 1990s. It took several years of studies and planning until building works started in 2004.
168,Rennes,Stade Rennais FC,Roazhon Park,"29,778",France,https://www.stadiumguide.com/routedelorient/,"Roazhon Park, better known as Stade de la Route de Lorient, officially opened on 15 October 1912 with a match between Rennes and Racing Club de France (0-4). Stade Rennais had moved to the new ground after their previous ground on the south bank of the river Vilaine had flooded several times."
169,Saint-Denis,--,Stade de France,"80,000",France,https://www.stadiumguide.com/stadedefrance/,Stade de France is the largest stadium in France and the stadium where the French national team plays its most important home matches.
170,Saint-Etienne,AS Saint-Etienne,Stade Geoffroy Guichard,"41,500",France,https://www.stadiumguide.com/geoffroyguichard/,"Stade Geoffroy-Guichard was built on a plot of land that was donated to the club by its founder Geoffroy Guichard (who also founded the retail group Casino). The president of the club, his son Pierre, in turn decided to name the stadium after his father."
171,Strasbourg,RC Strasbourg Alsace,Stade de la Meinau,"27,500",France,https://www.stadiumguide.com/stade-meinau/,"Football has been played at the side of Stade de la Meinau since 1906. It has been the home of the predecessor of RC Strasbourg since 1914, though for the first few years it was nothing but an open field without stands."
172,Toulouse,Toulouse FC,Stadium de Toulouse,"35,472",France,https://www.stadiumguide.com/stadiumdetoulouse/,"The stadium was further developed in 1949, but then remained very much the same for almost half a century."
173,Troyes,ES Troyes AC,Stade de l'Aube,"20,400",France,https://www.stadiumguide.com/aube/,"Stade de l’Aube was built in 1924, and, despite a first upgrade in 1956, for long remained a rather modest stadium with two small covered stands at the long sides and earth banks at the ends. The stadium was at that time oval-shaped."
174,Valenciennes,Valenciennes FC,Stade du Hainaut,"24,926",France,https://www.stadiumguide.com/hainaut/,Stade du Hainaut officially opened on 26 July 2011 with a friendly match between Valenciennes FC and Borussia Dortmund (0-1).
175,Aachen,Alemannia Aachen,Tivoli,"32,960",Germany,https://www.stadiumguide.com/tivoli/,Tivoli replaced Alemannia’s old stadium with the same name.
176,Aue,Erzgebirge Aue,Erzgebirgsstadion,"16,485",Germany,https://www.stadiumguide.com/erzgebirgsstadion/,"The stadium officially opened on the 20th of August 1950 with a match between Erzbergbau and Waggonbau Dessau (3-3). It could hold about 25,000 spectators at that time."
177,Augsburg,FC Augsburg,WWK Arena,"30,660",Germany,https://www.stadiumguide.com/wwkarena/,Building works started late 2007 and were completed by the summer of 2009. The WWK Arena officially opened on 26 July 2009 with a match between Augsburg and a selection of players from the region.
178,Berlin,FC Union Berlin,Stadion An der Alten Försterei,"22,012",Germany,https://www.stadiumguide.com/stadion-alten-forsterei-berlin/,"Stadion An der Alten Försterei was built in 1920 as FC Olympia, the predecessor of Union, had to move out of their previous home, which had gotten repurposed for residential housing."
179,Berlin,Hertha BSC,Olympiastadion,"74,649",Germany,https://www.stadiumguide.com/olympiastadionberlin/,The Olympiastadion was built between 1934 and 1936 to serve as the centrepiece of the 1936 Olympics. It officially opened on the 1st of August 1936 with the Olympic opening ceremony. Most notable event during the Games were the four gold medals of African-American track and field athlete Jesse Owens.
180,Bielefeld,Arminia Bielefeld,SchucoArena,"26,515",Germany,https://www.stadiumguide.com/schucoarena/,"The SchücoArena, originally called Melanchthon Alm, officially opened on 1 May 1926 with a match between Arminia Bielefeld and Viktoria Hamburg (1-5)."
181,Bochum,VFL Bochum,Vonovia Ruhrstadion,"29,299",Germany,https://www.stadiumguide.com/rewirpowerstadion/,"The roots of Vonovia Ruhrstadion, previously called simply Ruhrstadion and rewirpowerStadion for sponsor reasons, go back to October 1911 when a first sports field was opened at the site of the current stadium."
182,Bremen,Werder Bremen,Weserstadion,"42,100",Germany,https://www.stadiumguide.com/weserstadion/,Weserstadion was built in 1909 as a general sports field. It had one wooden stand and was initially only sporadically used for football matches.
183,Brunswick,Eintracht Braunschweig,Eintracht-Stadion,"23,325",Germany,https://www.stadiumguide.com/eintracht-stadion/,Eintracht-Stadion got built in 1923 when Eintracht was in need of a larger replacement for a ground they occupied on the Helmstedter Straße.
